"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00053006","2018-08-15","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  328",",,7","  122",",,7","  161",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-16","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  311",",,7","  117",",,7","  194",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-17","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  300",",,7","  150",",,7","  172",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-18","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","   13",",,7,2400","    0",",,7,2400","    0",",,7","  256",",,7","  128",",,7","  139",",,7,2400",,,,,"    1",",,7",,,,,,,,,,
"USC00053006","2018-08-19","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  233",",,7","  122",",,7","  122",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-20","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  233",",,7","   94",",,7","  133",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-21","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0","T,,7,2400","    0",",,7,2400","    0",",,7","  206",",,7","  128",",,7","  144",",,7,2400",,,"    1",",,7",,,,,,,,,,,,
"USC00053006","2018-08-22","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  256",",,7","  133",",,7","  200",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-23","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  306",",,7","  161",",,7","  167",",,7,2400",,,,,,,,,,,,,,,,
"USC00053006","2018-08-24","40.5756","-105.0236","1499.6","FORT COLLINS 4 E, CO US","    0",",,7,2400","    0",",,7,2400","    0",",,7","  317",",,7","  111",",,7","  172",",,7,2400",,,"    1",",,7",,,,,,,,,,,,
