"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00059058","2017-06-24","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700",,,,,,,,,"  156",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-25","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  244",",,7","   94",",,7",,,,,"  150",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-26","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  250",",,7","  144",",,7",,,,,"  156",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-06-27","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  311",",,7","  106",",,7",,,,,"  144",",,7,0700","    1",",,7",,,,,,,,,,
"USC00059058","2017-06-28","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   25",",,7,0700","    0",",,7,0700","    0",",,7,0700","  361",",,7","  144",",,7",,,,,"  194",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-06-29","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   20",",,7,0700","    0",",,7,0700","    0",",,7,0700",,,,,,,,,,,,,"    1",",,7",,,,,,,,
"USC00059058","2017-06-30","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   36",",,7,0700","    0",",,7,0700","    0",",,7,0700","  272",",,7",,,,,,,"  128",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-07-01","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  233",",,7","  111",",,7",,,,,"  161",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-07-02","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  317",",,7","  111",",,7",,,,,"  183",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-07-03","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   13",",,7,0700","    0",",,7,0700","    0",",,7,0700","  361",",,7","  139",",,7",,,,,"  167",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-07-04","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0","T,,7,0700","    0",",,7,0700","    0",",,7,0700","  317",",,7","  133",",,7",,,,,"  206",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-07-05","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  339",",,7","  133",",,7",,,,,"  211",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-07-06","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","    0",",,7,0700","    0",",,7,0700","    0",",,7,0700","  344",",,7","  139",",,7",,,,,"  189",",,7,0700",,,,,,,,,,,,
"USC00059058","2017-07-07","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","  196",",,7,0700","    0",",,7,0700","    0",",,7,0700","  383",",,7","  150",",,7",,,,,"  217",",,7,0700",,,"    1",",,7",,,,,,,,
"USC00059058","2017-07-08","38.90264","-103.0192","1418.5","WILD HORSE 6 N, CO US","   41",",,7,0700","    0",",,7,0700","    0",",,7,0700","  328",",,7","  128",",,7",,,,,"  161",",,7,0700",,,"    1",",,7",,,,,,,,
