"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00193624","2018-09-11","42.2269","-70.9125","10.7","HINGHAM, MA US","  236",",,7,1900","    0",",,7,1900","    0",",,7,1900","  244",",,7","  167",",,7",,,,,"  206",",,7,1900","    1",",,7","    1",",,7",,,,,,,,,,
"USC00193624","2018-09-12","42.2269","-70.9125","10.7","HINGHAM, MA US","  140",",,7,1900","    0",",,7,1900","    0",",,7,1900","  206",",,7","  183",",,7",,,,,"  183",",,7,1900","    1",",,7","    1",",,7",,,,,,,,,,
"USC00193624","2018-09-13","42.2269","-70.9125","10.7","HINGHAM, MA US","  163",",,7,1900","    0",",,7,1900","    0",",,7,1900","  206",",,7","  178",",,7",,,,,"  183",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-14","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  250",",,7","  150",",,7",,,,,"  183",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-15","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  239",",,7","  139",",,7",,,,,"  183",",,7,1900","    1",",,7",,,,,,,,,,,,
"USC00193624","2018-09-16","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  300",",,7","  139",",,7",,,,,"  222",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-17","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  289",",,7","  194",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-18","42.2269","-70.9125","10.7","HINGHAM, MA US","  721",",,7,1900","    0",",,7,1900","    0",",,7,1900","  244",",,7","  200",",,7",,,,,"  200",",,7,1900","    1",",,7","    1",",,7",,,,,,,,,,
"USC00193624","2018-09-19","42.2269","-70.9125","10.7","HINGHAM, MA US","   30",",,7,1900","    0",",,7,1900","    0",",,7,1900","  200",",,7","  156",",,7",,,,,"  156",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-20","42.2269","-70.9125","10.7","HINGHAM, MA US","    0","T,,7,1900","    0",",,7,1900","    0",",,7,1900","  183",",,7","  144",",,7",,,,,"  150",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-21","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","  128",",,7",,,,,"  178",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-22","42.2269","-70.9125","10.7","HINGHAM, MA US","   15",",,7,1900","    0",",,7,1900","    0",",,7,1900","  211",",,7","  161",",,7",,,,,"  161",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-23","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  172",",,7","   83",",,7",,,,,"  122",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-24","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  150",",,7","   78",",,7",,,,,"  122",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-25","42.2269","-70.9125","10.7","HINGHAM, MA US","  135",",,7,1900","    0",",,7,1900","    0",",,7,1900","  189",",,7","   89",",,7",,,,,"  189",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-26","42.2269","-70.9125","10.7","HINGHAM, MA US","  277",",,7,1900","    0",",,7,1900","    0",",,7,1900","  272",",,7","  189",",,7",,,,,"  228",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-27","42.2269","-70.9125","10.7","HINGHAM, MA US","  224",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","  133",",,7",,,,,"  133",",,7,1900",,,"    1",",,7",,,,,,,,,,
"USC00193624","2018-09-28","42.2269","-70.9125","10.7","HINGHAM, MA US","  109",",,7,1900","    0",",,7,1900","    0",",,7,1900","  156",",,7","  128",",,7",,,,,"  128",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-29","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  222",",,7","   89",",,7",,,,,"  167",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-09-30","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  206",",,7","   78",",,7",,,,,"  128",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-01","42.2269","-70.9125","10.7","HINGHAM, MA US","   18",",,7,1900","    0",",,7,1900","    0",",,7,1900","  194",",,7","  106",",,7",,,,,"  139",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-02","42.2269","-70.9125","10.7","HINGHAM, MA US","  152",",,7,1900","    0",",,7,1900","    0",",,7,1900","  178",",,7","  133",",,7",,,,,"  133",",,7,1900","    1",",,7","    1",",,7",,,,,,,,,,
"USC00193624","2018-10-03","42.2269","-70.9125","10.7","HINGHAM, MA US","  137",",,7,1900","    0",",,7,1900","    0",",,7,1900","  189",",,7","  122",",,7",,,,,"  150",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-04","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  228",",,7","  133",",,7",,,,,"  194",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-05","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  194",",,7","   78",",,7",,,,,"   78",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-06","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  200",",,7","   50",",,7",,,,,"  150",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-07","42.2269","-70.9125","10.7","HINGHAM, MA US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  150",",,7",,,,,"  156",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-08","42.2269","-70.9125","10.7","HINGHAM, MA US","    3",",,7,1900","    0",",,7,1900","    0",",,7,1900","  156",",,7","  133",",,7",,,,,"  133",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-09","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  256",",,7","  133",",,7",,,,,"  206",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-10","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  294",",,7","  183",",,7",,,,,"  222",",,7,1900","    1",",,7",,,,,,,,,,,,
"USC00193624","2018-10-11","42.2269","-70.9125","10.7","HINGHAM, MA US","  241",",,7,1900","    0",",,7,1900","    0",",,7,1900","  222",",,7","  139",",,7",,,,,"  144",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-12","42.2269","-70.9125","10.7","HINGHAM, MA US","  196",",,7,1900","    0",",,7,1900","    0",",,7,1900","  150",",,7","   94",",,7",,,,,"   94",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-13","42.2269","-70.9125","10.7","HINGHAM, MA US","   33",",,7,1900","    0",",,7,1900","    0",",,7,1900","  106",",,7","   61",",,7",,,,,"   61",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-14","42.2269","-70.9125","10.7","HINGHAM, MA US","    0",",,7,1900","    0",",,7,1900","    0",",,7,1900","  133",",,7","   22",",,7",,,,,"   67",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-15","42.2269","-70.9125","10.7","HINGHAM, MA US","    5",",,7,1900","    0",",,7,1900","    0",",,7,1900","  183",",,7","   33",",,7",,,,,"  183",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-16","42.2269","-70.9125","10.7","HINGHAM, MA US","   23",",,7,1900","    0",",,7,1900","    0",",,7,1900","  200",",,7","   61",",,7",,,,,"   72",",,7,1900",,,,,,,,,,,,,,
"USC00193624","2018-10-17","42.2269","-70.9125","10.7","HINGHAM, MA US","    5",",,7,1900","    0",",,7,1900","    0",",,7,1900","  167",",,7","   28",",,7",,,,,"   89",",,7,1900",,,,,,,,,,,,,,
