"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DAWM","DAWM_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDWM","MDWM_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00291153","2018-10-04","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  350",",,7","  172",",,7",,,,,"   99",",,7,",,,,,,,,,"  189",",,7,0730",,
"USC00291153","2018-10-05","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  328",",,7","  183",",,7",,,,,"   58",",,7,",,,,,,,,,"  189",",,7,0730",,
"USC00291153","2018-10-06","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  350",",,7","  183",",,7",,,,,"   91",",,7,",,,,,,,,,"  189",",,7,0730",,
"USC00291153","2018-10-07","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   84",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  178",",,7",,,,,"   61",",,7,",,,,,,,,,"  194",",,7,0730",,
"USC00291153","2018-10-08","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   23",",,7,0730","    0",",,7","    0",",,7","  278",",,7","  156",",,7",,,,,"   74",",,7,",,,,,,,,,"  172",",,7,0730",,
"USC00291153","2018-10-09","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   99",",,7,0730","    0",",,7","    0",",,7","  250",",,7","  111",",,7",,,,,"   64",",,7,",,,,,,,,,"  111",",,7,0730",,
"USC00291153","2018-10-10","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  222",",,7","   83",",,7",,,,,"   64",",,7,",,,,,,,,,"   83",",,7,0730",,
"USC00291153","2018-10-11","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  244",",,7","   78",",,7",,,,,"   56",",,7,",,,,,,,,,"  117",",,7,0730",,
"USC00291153","2018-10-12","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   20",",,7,0730","    0",",,7","    0",",,7","  217",",,7","  106",",,7",,,,,"   56",",,7,",,,,,,,,,"  167",",,7,0730",,
"USC00291153","2018-10-13","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   48",",,7,0730","    0",",,7","    0",",,7","  217",",,7","  144",",,7",,,,,"    5",",,7,",,,,,,,,,"  144",",,7,0730",,
"USC00291153","2018-10-14","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  256",",,7","  144",",,7",,,,,"   38",",,7,",,,,,,,,,"  161",",,7,0730",,
"USC00291153","2018-10-15","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  261",",,7","   28",",,7",,,,,"  102",",,7,",,,,,,,,,"   28",",,7,0730",,
"USC00291153","2018-10-16","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","   72",",,7","   28",",,7",,,,,"   38",",,7,",,,,,,,,,"   50",",,7,0730",,
"USC00291153","2018-10-17","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","   94",",,7","   50",",,7",,,,,"   25",",,7,",,,,,,,,,"   67",",,7,0730",,
"USC00291153","2018-10-18","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   94",",,7,0730","    0",",,7","    0",",,7","   94",",,7","   67",",,7",,,,,"    0",",,7,",,,,,,,,,"   72",",,7,0730",,
"USC00291153","2018-10-19","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","  145",",,7,0730","    0",",,7","    0",",,7","   94",",,7","   72",",,7",,,,,"    3",",,7,",,,,,,,,,"   89",",,7,0730",,
"USC00291153","2018-10-20","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","    0",",,7,0730","    0",",,7","    0",",,7","  194",",,7","   89",",,7",,,,,"   18",",,7,",,,,,,,,,"  128",",,7,0730",,
"USC00291153","2018-10-21","32.5158","-104.3828","979.3","BRANTLEY DAM, NM US","   18",",,7,0730","    0",",,7","    0",",,7","  217",",,7","  117",",,7",,,,,"   46",",,7,",,,,,,,,,"  122",",,7,0730",,
