"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SN52","SN52_ATTRIBUTES","SX32","SX32_ATTRIBUTES","SX52","SX52_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES"
"USC00200230","2018-09-04","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","  147",",,7,1800","    0",",,7,","    0",",,7,","  322",",,7","  183",",,7",,,,,,,,,"  300",",,7,1800",,,,,,,"  200",",,7",,,"  222",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-05","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  328",",,7","  194",",,7",,,,,,,,,"  300",",,7,1800",,,"  201",",,7",,,"  217",",,7",,,"  228",",,7","    1",",,7","    1",",,7",,,,,,,,,,,"    1",",,7",,
"USC00200230","2018-09-06","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","  292",",,7,1800","    0",",,7,","    0",",,7,","  300",",,7","  189",",,7",,,,,,,,,"  211",",,7,1800",,,,,,,"  211",",,7",,,"  222",",,7","    1",",,7","    1",",,7",,,,,,,,,,,,,,
"USC00200230","2018-09-07","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    5",",,7,1800","    0",",,7,","    0",",,7,","  217",",,7","  156",",,7",,,,,,,,,"  183",",,7,1800",,,,,,,"  194",",,7",,,"  211",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-09-08","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  183",",,7","  139",",,7",,,,,,,,,"  172",",,7,1800",,,,,,,"  178",",,7",,,"  194",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-09-09","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    8",",,7,1800","    0",",,7,","    0",",,7,","  172",",,7","  117",",,7",,,,,,,,,"  144",",,7,1800",,,,,,,"  161",",,7",,,"  183",",,7",,,,,,,,,,,,,,,,,,
"USC00200230","2018-09-10","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","   30",",,7,1800","    0",",,7,","    0",",,7,","  172",",,7","  117",",,7",,,,,,,,,"  172",",,7,1800",,,,,,,"  156",",,7",,,"  167",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-11","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  244",",,7","  133",",,7",,,,,,,,,"  228",",,7,1800",,,,,,,"  156",",,7",,,"  172",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-12","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  244",",,7","   83",",,7",,,,,,,,,"  217",",,7,1800",,,,,,,"  156",",,7",,,"  172",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-13","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0","T,,7,1800","    0",",,7,","    0",",,7,","  250",",,7","  111",",,7",,,,,,,,,"  233",",,7,1800",,,,,,,"  156",",,7",,,"  172",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-14","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  278",",,7","  150",",,7",,,,,,,,,"  250",",,7,1800",,,,,,,"  172",",,7",,,"  194",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-15","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  300",",,7","  161",",,7",,,,,,,,,"  272",",,7,1800",,,,,,,"  183",",,7",,,"  206",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-16","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  294",",,7","  156",",,7",,,,,,,,,"  267",",,7,1800",,,,,,,"  183",",,7",,,"  206",",,7","    1",",,7",,,,,,,,,,,,,,,,
"USC00200230","2018-09-17","42.29806","-83.66388","247.8","ANN ARBOR U OF MICH, MI US","    0",",,7,1800","    0",",,7,","    0",",,7,","  300",",,7","  150",",,7",,,,,,,,,"  278",",,7,1800",,,,,,,"  189",",,7",,,"  211",",,7","    1",",,7",,,,,,,,,,,,,,,,
