"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DASF","DASF_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES"
"USC00292785","2018-06-28","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  344",",,7","   78",",,7",,,,,,,,,"  217",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-06-29","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  322",",,7","   94",",,7",,,,,,,,,"  167",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-06-30","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  289",",,7","  128",",,7",,,,,,,,,"  194",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-01","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  278",",,7","   67",",,7",,,,,,,,,"  189",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-02","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  317",",,7","   72",",,7",,,,,,,,,"  194",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-03","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  317",",,7","  128",",,7",,,,,,,,,"  206",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-04","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  289",",,7","   72",",,7",,,,,,,,,"  194",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-05","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  294",",,7","   72",",,7",,,,,,,,,"  222",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-06","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    8",",,7,1700","    0",",,7","    0",",,7","  306",",,7","  144",",,7",,,,,,,,,"  189",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
"USC00292785","2018-07-07","35.038","-108.3491","2201.6","EL MORRO NATIONAL MON, NM US","    0",",,7,1700","    0",",,7","    0",",,7","  272",",,7","  122",",,7",,,,,,,,,"  228",",,7,1700",,,,,,,,,,,,,,,,,,,,,,
