"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"ASN00014703","2018-12-03","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  386",",,a","  293",",,a",,,,,,
"ASN00014703","2018-12-04","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  387",",,a","  297",",,a",,,,,,
"ASN00014703","2018-12-05","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  396",",,a","  294",",,a",,,,,,
"ASN00014703","2018-12-06","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  402",",,a","  281",",,a",,,,,,
"ASN00014703","2018-12-07","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  356",",,a","  298",",,a",,,,,,
"ASN00014703","2018-12-08","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  374",",,a","  294",",,a",,,,,,
"ASN00014703","2018-12-09","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  382",",,a","  289",",,a",,,,,,
"ASN00014703","2018-12-10","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    0",",,a","  382",",,a","  286",",,a",,,,,,
"ASN00014703","2018-12-11","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    8",",,a","  352",",,a","  260",",,a",,,,,,
"ASN00014703","2018-12-12","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","   78",",,a","  289",",,a","  272",",,a",,,,,,
"ASN00014703","2018-12-13","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","  532",",,a","  278",",,a","  249",",,a",,,,,,
"ASN00014703","2018-12-14","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","  910",",,a","  342",",,a","  244",",,a",,,,,,
"ASN00014703","2018-12-15","-15.7426","136.8192","12.2","CENTRE ISLAND, AS","    4",",,a","  336",",,a","  265",",,a",,,,,,
