"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","SN02","SN02_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SX32","SX32_ATTRIBUTES"
"USC00343820","2018-09-09","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    3",",,7,2400",,,,,"  250",",,7","  156",",,7",,,,,,,,,"  211",",,7","  256",",,7"
"USC00343820","2018-09-10","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    3",",,7,2400",,,,,"  244",",,7","  133",",,7",,,,,,,,,"  189",",,7","  256",",,7"
"USC00343820","2018-09-11","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  283",",,7","  167",",,7",,,,,,,,,"  200",",,7","  267",",,7"
"USC00343820","2018-09-12","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  272",",,7","  183",",,7",,,,,,,,,"  211",",,7","  261",",,7"
"USC00343820","2018-09-13","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  283",",,7","  211",",,7",,,,,,,,,"  222",",,7","  272",",,7"
"USC00343820","2018-09-14","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  322",",,7","  206",",,7",,,,,,,,,"  222",",,7","  322",",,7"
"USC00343820","2018-09-15","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","   10",",,7,2400",,,,,"  267",",,7","  217",",,7",,,,,,,,,"  244",",,7","  272",",,7"
"USC00343820","2018-09-16","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  322",",,7","  206",",,7",,,,,,,,,"  228",",,7","  322",",,7"
"USC00343820","2018-09-17","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  328",",,7","  211",",,7",,,,,,,,,"  239",",,7","  322",",,7"
"USC00343820","2018-09-18","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  222",",,7",,,,,,,,,"  250",",,7","  339",",,7"
"USC00343820","2018-09-19","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  222",",,7",,,,,,,,,"  256",",,7","  333",",,7"
"USC00343820","2018-09-20","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  333",",,7","  228",",,7",,,,,,,,,"  256",",,7","  328",",,7"
"USC00343820","2018-09-21","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","  411",",,7,2400",,,,,"  233",",,7","  144",",,7",,,,,,,,,"  206",",,7","  283",",,7"
"USC00343820","2018-09-22","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  250",",,7","  139",",,7",,,,,,,,,"  183",",,7","  250",",,7"
"USC00343820","2018-09-23","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  206",",,7","  167",",,7",,,,,,,,,"  206",",,7","  228",",,7"
"USC00343820","2018-09-24","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  261",",,7","  183",",,7",,,,,,,,,"  211",",,7","  261",",,7"
"USC00343820","2018-09-25","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    3",",,7,2400",,,,,"  311",",,7","  178",",,7",,,,,,,,,"  200",",,7","  267",",,7"
"USC00343820","2018-09-26","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    3",",,7,2400",,,,,"  194",",,7","  100",",,7",,,,,,,,,"  172",",,7","  211",",,7"
"USC00343820","2018-09-27","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  233",",,7","   67",",,7",,,,,,,,,"  144",",,7","  256",",,7"
"USC00343820","2018-09-28","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  272",",,7","  139",",,7",,,,,,,,,"  183",",,7","  278",",,7"
"USC00343820","2018-09-29","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  256",",,7","  167",",,7",,,,,,,,,"  211",",,7","  261",",,7"
"USC00343820","2018-09-30","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  278",",,7","  206",",,7",,,,,,,,,"  222",",,7","  267",",,7"
"USC00343820","2018-10-01","35.84889","-97.47972","329.8","GUTHRIE 4 WSW MESONET, OK US","    0",",,7,2400",,,,,"  300",",,7","  200",",,7",,,,,,,,,"  222",",,7","  294",",,7"
