"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","DATN","DATN_ATTRIBUTES","DATX","DATX_ATTRIBUTES","DWPR","DWPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDTN","MDTN_ATTRIBUTES","MDTX","MDTX_ATTRIBUTES"
"ASN00066124","2018-09-29","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    2",",,a","  220",",,a","  118",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-09-30","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  200",",,a","   78",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-01","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  225",",,a","   72",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-02","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  257",",,a","   70",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-03","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  270",",,a","   88",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-04","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   40",",,a","  170",",,a","  152",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-05","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  700",",,a","  160",",,a","  126",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-06","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  140",",,a","  200",",,a","  112",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-07","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   12",",,a","  182",",,a","  105",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-08","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   60",",,a","  225",",,a","  128",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-09","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    4",",,a","  268",",,a","  105",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-10","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  170",",,a","  158",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-11","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  230",",,a","  180",",,a","  116",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-12","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   28",",,a","  165",",,a","  107",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-13","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   50",",,a","  202",",,a","   88",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-14","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  250",",,a","  215",",,a","  145",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-15","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   66",",,a","  220",",,a","  134",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-16","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","   22",",,a","  240",",,a","  150",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-17","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    8",",,a","  253",",,a","  155",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-18","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  150",",,a","  260",",,a","  152",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-19","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","  100",",,a","  295",",,a","  155",",,a",,,,,,,,,,,,,,
"ASN00066124","2018-10-20","-33.7917","151.0181","55.0","PARRAMATTA NORTH MASONS DRIVE, AS","    0",",,a","  315",",,a","  155",",,a",,,,,,,,,,,,,,
